Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL4102625,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCNC(=N)N,7.38
CHEMBL4071094,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCNC(C)=O,7.39
CHEMBL4065832,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCN(C)C,7.41
CHEMBL4061029,CNCCOc1ccc(NC(=S)NCCCn2cncc2C)cc1OC,7.41
CHEMBL4202459,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCC(=O)N(C)C,7.45
CHEMBL4093175,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCN,7.52
CHEMBL566563,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OC,7.546666666666667
CHEMBL4126468,CNCCCOc1cc(NC(=S)NCCCn2cncc2C)ccc1OC,7.57
CHEMBL4129751,CNCCCCOc1cc(NC(=S)NCCCn2cncc2C)ccc1OC,7.66
CHEMBL4202896,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCC(N)=O,7.72
CHEMBL4089521,CNCCCCOc1ccc(NC(=S)NCCCn2cncc2C)cc1OC,7.79
CHEMBL4100893,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCN,7.86
CHEMBL4097231,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCN(C)C,7.89
CHEMBL4586829,COc1ccc(N(C)C(=S)NCCCn2cncc2C)cc1OC,7.91
CHEMBL4129900,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCCN,8.05
CHEMBL4440547,CCN(C(=S)NCCCn1cncc1C)c1ccc(OC)c(OC)c1,8.06
CHEMBL4128529,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCCCN,8.06
CHEMBL4127037,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCN,8.1
CHEMBL4088456,CNCCCOc1ccc(NC(=S)NCCCn2cncc2C)cc1OC,8.16
CHEMBL4520303,COc1ccc(N(CC(C)C)C(=S)NCCCn2cncc2C)cc1OC,8.17
CHEMBL4082916,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCN,8.28
CHEMBL4070663,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCN(C)C,8.43
CHEMBL4464130,COc1ccc(N(C(=S)NCCCn2cncc2C)C(C)C)cc1OC,8.55
CHEMBL578155,N#C/N=C(\NCCCn1ccnc1)NCC1CC1,5.86
CHEMBL201392,COc1ccc(NC(=O)NCCCn2ccnc2)cc1OC,6.31
CHEMBL4475055,COc1ccc(NC(=O)NCCCn2cncc2C)cc1OC,6.79
CHEMBL5080708,COc1cc(NC(=O)NCCCn2cncc2C)ccc1OCCN(C)C,6.96
CHEMBL4554520,COc1ccc(N(C)C(=O)NCCCn2cncc2C)cc1OC,7.1
CHEMBL5076741,COc1cc(NC(=O)NCCCn2cncc2C)ccc1OCCCN(C)C,7.29
CHEMBL5084891,COc1cc(NC(=O)NCCCn2cncc2C)ccc1OCCCCN(C)C,7.4
CHEMBL4476133,CCN(C(=O)NCCCn1cncc1C)c1ccc(OC)c(OC)c1,7.57
